dataset_name,overall_accuracy,dataset_num_items,dataset_total_chars,approximate_duplicates,avg_activation_sparsity,avg_grad_norm,avg_grad_sparsity,avg_input_length,avg_output_length,avg_param_change,base_model_perplexity,base_perplexity_std,catastrophic_forgetting,embedding_outlier_ratio,gradient_consistency,initial_loss,input_length_std,input_ttr,io_length_ratio,io_similarity,landscape_flatness,loss_decay_rate,loss_stability,output_length_std,output_ngram_repetition,output_ttr,reference_perplexity,reference_perplexity_std,semantic_consistency,semantic_diversity,special_char_ratio,vocab_complexity,learning_rate,batch_size
sample21,0.435652995,2721,2891467.834,0.454932319,0.670227543,0.097802784,0.429329514,54.20797583,67.28340056,6.82771358,22.73662217,3.967545959,0.541935227,0.436531022,0.501080535,4.404856499,112.2010492,0.928341847,0.886588857,0.205974349,0.632077299,0.695737198,0.550813098,78.86270585,0.369533593,0.875230949,25.71383895,4.16482946,8.24E-08,0.992543563,0.197220317,0.107848288,0.0002,32
sample22,0.358069783,4295,3374531.102,0.413990083,0.770900198,0.100647002,0.487492853,58.75420458,69.25409974,6.918830383,25.45572688,4.267184641,0.536473139,0.465135936,0.25002802,4.327592038,135.0440848,0.943964638,1.168850872,0.129859493,0.546627033,0.803812999,0.460462174,84.44936998,0.595524774,0.866891922,29.21396168,4.895022686,6.62E-08,0.99103897,0.205034473,0.134628825,0.0002,8
sample23,0.684594529,729,2829318.485,0.159184004,0.627217006,0.097802784,0.112935278,52.85814185,64.25318063,6.7852543,5,0.520313121,0.54507171,0.008671277,0.72558936,3.344217068,115.2271131,0.935249165,1.010117851,0.288118053,0.762281918,0.780836169,0.878831821,80.93449702,0.098042602,0.89216623,9.812538342,1.017266051,7.27E-08,0.993772,0.256540996,0.365558636,0.0002,16
sample24,0.664221621,626,2868967,0.035446638,0.583650997,0.097802784,0.124413083,57.49539816,66.23229292,6.677176284,10.45083392,1.75773488,0.537767275,0.052135069,0.719715844,3.15572125,166.6330511,0.946348195,1.151958157,0.315037122,0.862731695,0.78997387,0.81295806,87.17876069,0.047296025,0.872543259,8.899208948,0.5,7.02E-08,1.000000925,0.138273695,0.330555325,0.0002,8
sample25,0.235326286,6632,2862505.557,0.646405237,0.385231408,0.099006219,0.771875851,63.1190849,62.41053102,6.509198903,39.56106824,4.924743032,0.543747885,0.812078393,0.054485655,4.558950382,139.3537206,0.964263584,1.121273202,0,0.454786181,0.911543994,0.293402661,87.25786121,0.580181051,0.860848177,33.07703268,5.861873121,6.83E-08,0.996099977,0.212947008,0,0.0003,8
sample26,0.586376175,1009,2823133.423,0.222894152,0.53213076,0.098397966,0.252688532,54.0190349,68.82743105,6.604098777,11.65891905,1.454424663,0.545144458,0.192974097,0.734589653,3.15572125,118.9907659,0.944862837,1.207160564,0.323236451,0.730212523,0.781651228,0.776568835,86.85855692,0.246805077,0.867910987,16.44848826,2.651301082,7.43E-08,0.998906524,0.25359175,0.258718576,0.0002,16
sample27,0.623945087,655,2773599.406,0.144017661,0.626881135,0.098859091,0.086285936,57.25446576,68.35747293,6.501996964,8.129200075,1.905970106,0.541369943,0.164718027,0.721083296,3.598605913,131.2417344,0.936359792,1.203141157,0.272266438,0.734042412,0.691256501,0.856754312,85.72995476,0.119878639,0.856173321,14.94650746,1.760285189,9.61E-08,1.005457731,0.278671645,0.381369794,0.0002,16
sample28,0.2299,4068,2855404.64,0.654857596,0.557402939,0.100145968,0.67000675,55.26249926,64.4219315,6.590535343,35.16266645,6.945016196,0.550862918,0.712394204,0.120534797,5.427021193,102.6777987,0.93997613,1.153421196,0.039214086,0.474362047,0.909982548,0.283085161,83.83125231,0.708541011,0.875199199,32.08458634,5.003941189,8.09E-08,0.997173906,0.165793006,0.096633571,0.0003,32
sample29,0.464366334,1414,2768641.853,0.326730875,0.611823089,0.100084447,0.333690296,55.12704077,63.14398607,6.248225289,21.1960868,2.536500145,0.551629193,0.408684608,0.470658863,4.430865057,125.0156318,0.937198064,1.368847332,0.19743145,0.604535623,0.735446944,0.614399628,90.6235613,0.350818918,0.867621519,16.88043648,3.203585935,7.01E-08,1.001167099,0.209624026,0.358718463,0.0002,16
sample30,0.451245204,2383,2823599.027,0.429481702,0.3,0.098706743,0.440505566,55.82474905,67.11949179,6.534683528,22.01190734,3.122652782,0.531452656,0.456925639,0.45526447,4.156225947,99.51983599,0.935404805,1.28347923,0.247303689,0.614153246,0.780157628,0.610058975,84.03396975,0.371967293,0.883387089,20.48449272,4.837732284,8.62E-08,0.992988326,0.197636866,0.187974548,0.0003,16
sample31,0.2399,8012,2752191.795,0.755970201,0.359356903,0.09941933,0.668045405,54.44654502,64.97380474,6.66765557,37.10243202,4.821638752,0.545452638,0.726398544,0.089011171,5.008503363,132.7214441,0.945838634,1.029405442,0.048395942,0.442962153,0.701001255,0.293510241,73.58729787,0.652511338,0.870339192,36.07298069,5.691390968,7.11E-08,0.99469946,0.145585874,0,0.0003,16
sample32,0.203786167,6736,2677369.583,0.65268588,0.773605302,0.101337767,0.669129147,63.44602834,68.43822304,6.723277888,35.64007869,6.498218088,0.531506766,0.766858905,0.10192912,5.33658834,145.8611938,0.940186158,1.328504989,0,0.430137081,0.642033822,0.2,88.21792617,0.758177958,0.849308658,44.41906348,6.080902693,6.53E-08,0.996474133,0.274499035,0,0.0002,32
sample33,0.500706991,884,2950631.258,0.3913192,0.9,0.098223776,0.39867997,56.38980394,65.00109292,6.434932945,15.37594327,3.611541908,0.526077784,0.252050834,0.490433663,4.259823393,127.5428713,0.950266465,0.961618011,0.233588193,0.649637618,0.873512915,0.578682206,79.81887042,0.297938336,0.856665076,20.93627334,2.878769821,8.31E-08,0.995323408,0.219326771,0.225580532,0.0002,16
sample34,0.2480857,5312,2688102.214,0.695828611,0.431434963,0.100493035,0.655922079,58.48259735,63.24136167,6.639556409,30.13804514,5.922156198,0.530946733,0.721057339,0.098777024,4.275091984,109.6684955,0.946173237,0.992279613,0.088209088,0.438939171,0.84117337,0.285686353,86.17071903,0.791967531,0.878157106,34.67340286,5.660694901,7.25E-08,0.984200051,0.185355938,0.026138245,0.0002,32
sample35,0.68279494,500,2894629.707,0.064058682,0.487342858,0.097982215,0.093718995,57.09040433,62.48752438,6.772084103,6.698390167,1.935163013,0.537122251,0.142844361,0.661904029,3.15572125,127.2684376,0.949454259,1.096345646,0.323639563,0.789351989,0.850848929,0.891745198,86.66271913,0.11118372,0.868417247,5,0.67895066,5.53E-08,0.995490477,0.180663929,0.345194902,0.0002,8
sample36,0.58218678,557,2847242.405,0.064611226,0.625380702,0.097802784,0.154675588,53.77243741,63.26506696,6.417382159,13.8440215,1.313392808,0.529945101,0.251025372,0.633582632,3.963692662,98.97399527,0.92477155,1.465899029,0.285943059,0.707980279,0.833925207,0.692682462,79.66739804,0.175452234,0.868004792,13.05773813,0.773569007,6.95E-08,0.999238702,0.250412726,0.143692703,0.0002,8
sample37,0.543290472,1290,3082861.998,0.309148021,0.673033975,0.098128268,0.340101438,56.66852253,65.52637099,6.702266552,17.08390887,1.647901226,0.549457188,0.273744648,0.625379666,3.785803917,129.2317428,0.948747258,1.202009968,0.228795255,0.688234091,0.807073132,0.716012389,96.45575807,0.212165119,0.89256273,22.99487929,2.863015428,6.85E-08,1.003898296,0.198637006,0.100596132,0.0002,16
sample38,0.598390455,900,3060258.077,0.169169896,0.556097809,0.098162975,0.139001617,58.9714638,67.48879506,6.327777073,15.84836394,2.012379946,0.564476542,0.188636462,0.602064656,3.15572125,130.6011452,0.949829024,1.241700813,0.437309957,0.735685821,0.685217503,0.780597074,87.63477401,0.273969122,0.876586423,10.72973217,2.029780153,6.52E-08,1.00590097,0.231724315,0.254379094,0.0003,8
sample39,0.280526758,6057,2724040.651,0.610001723,0.3,0.099342954,0.632376952,56.56392994,61.80775577,6.540772942,34.70419524,5.901289492,0.551258745,0.646093864,0.14329031,4.28652271,124.9532212,0.96781318,1.367415725,0.27054384,0.472211084,0.830925852,0.346124034,79.3190099,0.730992115,0.891656081,35.04492065,4.736886895,8.49E-08,1.012239124,0.198280337,0.061727959,0.0002,32
sample40,0.661835921,530,1296591,0.217367135,0.454688752,0.098335548,0.087729113,28.05640854,61.09779706,6.776581862,6.032341458,0.998211993,0.539773871,0.103290873,0.668396634,3.327291025,61.13707668,0.96580283,2.177677052,0.360050132,0.77961002,0.700447645,0.778504398,76.87411976,0.171308096,0.877113259,11.85694201,0.845079147,9.29E-08,1.000000892,0.114760627,0.35808932,0.0002,8
sample41,0.659450221,718,2873440,0.124523118,0.480086971,0.098279208,0.133440877,57.7666,65.982,4.999911521,7.506269309,1.672355253,0.54141741,0.019673684,0.666423666,3.41893278,166.4847805,0.944150349,1.142217129,0.289411103,0.743110722,0.711695841,0.841750281,86.8615063,0,0.873745764,12.8442524,0.716283543,6.80E-08,1.000000926,0.284571845,0.202718646,0.0002,8
sample42,0.243391154,6927,2608892.863,0.736143333,0.3,0.099631281,0.722883706,56.45555411,66.97565408,6.352215939,36.56893802,5.684612557,0.55266529,0.721754736,0.148456544,4.405588803,116.0655406,0.952579049,1.231634305,0.058428858,0.475560175,0.779886263,0.314541292,77.86764637,0.712600164,0.883278334,35.32944907,7.265177745,6.61E-08,1.003835045,0.206051882,0.148738989,0.0003,16
sample43,0.668947308,649,2850418.366,0.073439409,0.560000181,0.097802784,0.05712251,58.35834173,62.90658184,6.686199859,5.961960027,1.063275201,0.538936116,0.10541636,0.744132898,3.15572125,132.6976671,0.965252813,1.432541198,0.455267224,0.771702693,0.741915164,0.810629268,90.33525964,0,0.880404721,6.445758942,1.211222019,6.84E-08,1.004428271,0.144140829,0.339401602,0.0003,32
sample44,0.577837794,982,2856797.52,0.187040163,0.664805425,0.098459377,0.263566584,59.0098892,69.1124074,6.347810207,13.25804502,1.766119274,0.541153777,0.212594658,0.6051032,3.508174099,115.7950348,0.918638927,1.156064034,0.192487764,0.704917626,0.809804956,0.774108275,94.59437698,0.2084883,0.889363092,18.13057955,2.922695567,6.37E-08,0.993440103,0.253929883,0.251315578,0.0003,8
sample45,0.245455474,4374,2665348.053,0.645395436,0.431751952,0.09876505,0.690309255,56.53260611,66.74912205,6.510062242,41.17747481,5.902614375,0.527980834,0.75766686,0.086891016,5.268199118,117.3980794,0.936864317,1.307359769,0.114605544,0.492576124,0.621925993,0.296960723,104.0140256,0.588868345,0.866335144,38.6792835,5.115144025,8.02E-08,0.995182577,0.283557105,0.008596257,0.0002,8
sample46,0.321629146,3904,2757189.801,0.536931475,0.432568655,0.099568853,0.65831179,55.1930758,65.38253826,6.639971312,24.47100942,5.360980237,0.5321707,0.742804335,0.15178412,4.539481969,122.7735876,0.967423792,1.189036919,0.174604582,0.56641556,0.889369415,0.394593778,85.83910788,0.535437824,0.85957056,26.23311911,3.919381487,5.83E-08,0.997854931,0.168462536,0.121254452,0.0003,32
sample47,0.659236576,720,2987280,0.125432102,0.565363219,0.097956742,0.14368331,59.6714,69.776,6.361727677,8.228215447,1.946442318,0.541184303,0,0.768647653,3.962111786,168.7357467,0.94113687,1.169337405,0.467088742,0.784327654,0.750409083,0.889094028,120.3037,0.016559387,0.865515815,11.01956071,0.5,6.37E-08,1.00000093,0.271703364,0.208822033,0.0002,8
sample48,0.561379492,1135,2789354.679,0.242820862,0.581259127,0.097802784,0.260055244,55.0149901,68.20169793,6.633415225,16.96269435,2.903301583,0.544634736,0.234477478,0.578589548,3.978418248,133.2836542,0.94978942,0.987334955,0.137918776,0.709301273,0.72536211,0.728904149,76.54817599,0.228963245,0.874948343,14.43100806,1.633745626,6.17E-08,0.998391691,0.167408678,0.150597424,0.0002,8
sample49,0.223795718,9191,3205369.782,0.663284225,0.43869473,0.099117883,0.70032016,62.04719547,63.60998646,6.632931709,34.16948364,5.638391467,0.523764177,0.818215842,0.15230627,5.035072331,123.3778191,0.930667447,1.138391133,0.176731943,0.49677118,0.572784957,0.305600989,67.83672,0.657275993,0.869081222,41.97261188,6.598213756,5.78E-08,1.005015705,0.248145619,0.111188865,0.0002,8
sample50,0.284715329,6511,2886255.533,0.635718944,0.659555006,0.099071966,0.633422148,55.87213772,59.41378895,6.504594674,35.43577838,5.650675638,0.545095382,0.536314135,0.17041519,4.600366527,127.3670786,0.917255768,1.119112377,0.223108115,0.496806171,0.726045557,0.270728514,76.34605439,0.636499836,0.866952391,32.51475955,5.596451778,7.64E-08,0.99465228,0.237309633,0.097512118,0.0002,8
sample51,0.463542205,1572,2952987.892,0.413695931,0.331827889,0.099164714,0.372095702,61.65002481,62.33901398,6.726433294,23.8532432,2.941190576,0.552504585,0.368428328,0.380363418,4.030964908,134.4410223,0.934234076,1.165876649,0.143620714,0.654791232,0.629659197,0.56865011,85.97544732,0.350629539,0.885126099,23.28594468,3.563691351,6.95E-08,1.003415738,0.200317124,0.1434118,0.0002,16
sample52,0.294171236,4222,2709610.679,0.617118825,0.463078518,0.100026262,0.623957039,55.75886642,64.0504382,6.218423602,30.22076531,5.948378283,0.537722204,0.6731458,0.262507886,5.12853084,128.6318217,0.940958379,1.220424905,0.010499624,0.519465483,0.596012569,0.351885795,84.74634261,0.689024808,0.891849935,32.92668581,5.691077773,8.94E-08,0.995367749,0.227223753,0.15525253,0.0002,32
sample53,0.549842798,846,2854197.422,0.122217398,0.753840024,0.09871461,0.217388088,58.89240568,67.99487733,6.675851896,13.73663349,3.306791822,0.547772543,0.285782824,0.540022262,3.787169542,135.6031101,0.94760415,1.047082327,0.163579013,0.71008726,0.903983134,0.704424711,88.46736358,0.308381319,0.85930227,17.60058943,2.152853074,8.29E-08,1.003657059,0.227082737,0.293517241,0.0002,32
sample54,0.286848199,5671,3267251.351,0.64561113,0.509222023,0.100177321,0.642339622,53.29882786,60.64910509,6.676183842,32.90392496,5.834832457,0.521884752,0.760683221,0.195954937,4.559814462,122.7789912,0.930431745,1.137184102,0.008202866,0.429525468,0.884700844,0.355583638,84.23082145,0.646706882,0.85856407,33.43280745,5.455756374,7.81E-08,0.996959698,0.256548899,0.127665371,0.0002,16
sample55,0.525578601,1216,2866674.152,0.292760264,0.674416864,0.099146261,0.127041731,59.66650685,65.25425431,6.919124096,18.52314527,2.559689217,0.539617956,0.314069133,0.450832386,4.180953722,127.6332629,0.950495234,1.113531431,0.124278676,0.698395654,0.733871108,0.705474595,94.56227214,0.199339185,0.869161043,15.98313753,2.113925207,6.22E-08,0.994575978,0.195353984,0.215239054,0.0002,32
sample56,0.39790927,3779,2812360.871,0.489751199,0.600086117,0.099480036,0.352993417,55.55778309,66.75148221,6.660319,28.76804348,3.685850977,0.535424186,0.431291003,0.283365093,3.986312901,127.0227083,0.937474475,1.483548995,0.335656919,0.556037955,0.709969814,0.541310364,93.28520091,0.488496887,0.860086936,28.58253101,3.766913552,7.34E-08,1.00835897,0.216964225,0.188874649,0.0002,32
sample57,0.668067227,1068,2902915,0,0.5652492,0.098066073,0.019439567,57.99979996,67.07741548,6.015537188,12.671548,1.108004771,0.531716782,0.142263923,0.719041938,3.15572125,166.4979138,0.943480884,1.156511152,0.398991362,0.785038299,0.767997141,0.826592003,86.72656402,0.149938633,0.869944729,9.926447661,0.5,6.74E-08,1.000000926,0.111381113,0.272918673,0.0002,8
sample58,0.682181544,628,2655579.45,0,0.713204584,0.097816706,0.084054576,53.46582471,64.2786142,6.633415564,10.80081315,1.705489719,0.521600527,0.060836796,0.722689118,3.282311469,133.6678796,0.944763917,1.334331997,0.551291697,0.798317187,0.779639151,0.845055755,94.32653819,0.041332131,0.876189091,6.688993437,0.5,7.53E-08,1.001312209,0.157143298,0.539943355,0.0003,16
sample59,0.647303409,701,2906466.301,0.046658932,0.818329853,0.098531569,0.134108202,58.10364745,65.99231751,6.679591106,6.716544353,1.484654885,0.542624952,0.097694811,0.745955293,3.804009966,135.9240974,0.948604854,1.110820886,0.226023695,0.803678624,0.665589016,0.793928267,82.91363181,0.236070705,0.86687299,10.4929378,2.162444922,6.28E-08,0.998818303,0.274965354,0.205850695,0.0002,16
sample60,0.337112552,3247,3061455.694,0.657504772,0.368767263,0.099858129,0.533022128,54.2139784,61.11360488,6.79510775,23.16275611,5.023152257,0.531196938,0.445927783,0.153906574,4.11500566,132.317601,0.944544998,1.105432823,0.062516283,0.531257506,0.75619381,0.51052096,95.57749954,0.500863233,0.878561996,28.77236551,4.531390806,7.10E-08,1.000042722,0.229570093,0.163015168,0.0003,16
sample61,0.6616,590,205603,0.054912543,0.651852323,0.097802784,0.106301143,68.816,15.924,5.686741191,10.89900198,1.961957045,0.591565805,0.03917795,0.690499273,3.15572125,18.78632865,0.874536686,0.231399674,0.364664053,0.787663715,0.746585061,0.908614943,5.133636528,0.128975541,0.989558917,7.954451215,2.06226518,9.87E-08,1.000000861,0.286475133,0.298680336,0.0003,16
sample62,0.545322516,851,2684032.327,0.224425309,0.3,0.098719953,0.302773575,59.21560276,67.66066348,6.385028638,19.88243155,2.753657954,0.524392372,0.212554643,0.496638766,3.603745804,130.9475712,0.939167424,1.149120493,0.056479631,0.71785767,0.603820637,0.658984866,90.48221022,0.273162068,0.863888553,11.10927931,0.635028878,8.06E-08,0.998655126,0.203360447,0.210280621,0.0002,32
sample63,0.2901,3987,2966061.268,0.741446145,0.71422824,0.099289337,0.674689855,57.97917139,61.74090305,6.792105338,34.90813224,4.667865721,0.537461147,0.636618982,0.240762759,4.764863064,112.1073852,0.960251636,1.042235924,0.126024157,0.498373931,0.714693531,0.321529762,91.82476971,0.528840918,0.868674157,38.60760532,4.829203733,8.28E-08,0.996471942,0.207854135,0.057733815,0.0003,16
sample64,0.474458283,1848,2883725.27,0.396126491,0.495753077,0.098771008,0.325388643,54.12434551,64.36478122,6.499636455,20.81803912,3.239693838,0.53737455,0.413256668,0.527719732,4.000407821,127.7481409,0.937778027,1.028882598,0.278212063,0.628477132,0.794597583,0.577026992,78.8479127,0.29065392,0.863086491,16.48368714,2.939834207,6.59E-08,0.995840372,0.209317754,0.215360775,0.0002,16
sample65,0.273782625,7066,2815581.47,0.655978815,0.831352176,0.099959298,0.597470034,58.22109162,66.87340012,6.60086547,32.08544791,5.653202889,0.526236043,0.695265391,0.221846855,5.219495794,131.196134,0.938114537,1.028027616,0.097920352,0.443441618,0.629666588,0.344552601,91.44010564,0.741000848,0.86839134,35.19613699,6.226371737,7.19E-08,0.99744715,0.130410128,0,0.0002,16
sample66,0.662726107,1020,3005121,0.11741016,0.623648908,0.098366054,0.065791122,63.1296,68.5816,6.526840986,13.21052785,0.843271718,0.536068749,0.096535896,0.678193237,3.404272441,216.5837639,0.942467301,1.086362024,0.327284624,0.763037397,0.735921834,0.751880556,101.478426,0.175084089,0.868871403,7.979085561,0.5,6.79E-08,1.000000928,0.147767591,0.130155574,0.0002,8
sample67,0.463063726,1841,3008193.575,0.431795425,0.588312354,0.098809936,0.454891266,58.0232767,58.12157392,6.421677677,19.6124624,2.143124001,0.541815613,0.424577651,0.400949781,3.929734229,117.9895917,0.951800874,1.261659725,0.265918002,0.616499496,0.682908939,0.639209021,86.56170897,0.401215952,0.877065078,23.72980391,3.660380301,7.05E-08,1.005879763,0.193822449,0.223946542,0.0002,32
